t,A_x,A_y,B_x,B_y,C_x,C_y,D_x,D_y,E_x,E_y,F_x,F_y
3.420477E1,,,,,,,,,,,,
3.423811E1,,,,,,,,,,,,
3.427145E1,,,,,,,,,,,,
3.430479E1,,,,,,,,,,,,
3.433813E1,,,,,,,,,,,,
3.437146E1,,,,,,,,,,,,
3.440480E1,,,,,,,,,,,,
3.443814E1,,,,,,,,,,,,
3.447148E1,,,,,,,,,,,,
3.450482E1,,,,,,,,,,,,
3.453815E1,,,,,,,,,,,,
3.457149E1,,,,,,,,,,,,
3.460483E1,,,,,,,,,,,,
3.463817E1,,,,,,,,,,,,
3.467151E1,,,,,,,,,,,,
3.470484E1,,,,,,,,,,,,
3.473818E1,,,,,,,,,,,,
3.477152E1,,,,,,,,,,,,
3.480486E1,,,,,,,,,,,,
3.483820E1,,,,,,,,,,,,
3.487153E1,,,,,,,,,,,,
3.490487E1,,,,,,,,,,,,
3.493821E1,,,,,,,,,,,,
3.497155E1,,,,,,,,,,,,
3.500489E1,,,,,,,,,,,,
3.503822E1,,,,,,,,,,,,
3.507156E1,,,,,,,,,,,,
3.510490E1,,,,,,,,,,,,
3.513824E1,,,,,,,,,,,,
3.517158E1,,,,,,,,,,,,
3.520491E1,,,,,,,,,,,,
3.523825E1,,,,,,,,,,,,
3.527159E1,,,,,,,,,,,,
3.530493E1,,,,,,,,,,,,
3.533827E1,,,,,,,,,,,,
3.537160E1,,,,,,,,,,,,
3.540494E1,,,,,,,,,,,,
3.543828E1,,,,,,,,,,,,
3.547162E1,,,,,,,,,,,,
3.550496E1,,,,,,,,,,,,
3.553829E1,,,,,,,,,,,,
3.557163E1,,,,,,,,,,,,
3.560497E1,,,,,,,,,,,,
3.563831E1,,,,,,,,,,,,
3.567165E1,,,,,,,,,,,,
3.570498E1,,,,,,,,,,,,
3.573832E1,,,,,,,,,,,,
3.577166E1,,,,,,,,,,,,
3.580500E1,,,,,,,,,,,,
3.583833E1,,,,,,,,,,,,
3.587167E1,,,,,,,,,,,,
3.590501E1,,,,,,,,,,,,
3.593835E1,,,,,,,,,,,,
3.597169E1,,,,,,,,,,,,
3.600502E1,,,,,,,,,,,,
3.603836E1,,,,,,,,,,,,
3.607170E1,,,,,,,,,,,,
3.610504E1,,,,,,,,,,,,
3.613838E1,,,,,,,,,,,,
3.617171E1,,,,,,,,,,,,
3.620505E1,,,,,,,,,,,,
3.623839E1,,,,,,,,,,,,
3.627173E1,,,,,,,,,,,,
3.630507E1,,,,,,,,,,,,
3.633840E1,,,,,,,,,,,,
3.637174E1,,,,,,,,,,,,
3.640508E1,,,,,,,,,,,,
3.643842E1,,,,,,,,,,,,
3.647176E1,,,,,,,,,,,,
3.650509E1,,,,,,,,,,,,
3.653843E1,,,,,,,,,,,,
3.657177E1,,,,,,,,,,,,
3.660511E1,,,,,,,,,,,,
3.663845E1,,,,,,,,,,,,
3.667178E1,,,,,,,,,,,,
