t,A_x,A_y,B_x,B_y,C_x,C_y,D_x,D_y,E_x,E_y,F_x,F_y
1.966862E1,,,,,,,,,,,,
1.970196E1,,,,,,,,,,,,
1.973529E1,,,,,,,,,,,,
1.976863E1,,,,,,,,,,,,
1.980197E1,,,,,,,,,,,,
1.983530E1,,,,,,,,,,,,
1.986864E1,,,,,,,,,,,,
1.990198E1,,,,,,,,,,,,
1.993531E1,,,,,,,,,,,,
1.996865E1,,,,,,,,,,,,
2.000199E1,,,,,,,,,,,,
2.003532E1,,,,,,,,,,,,
2.006866E1,,,,,,,,,,,,
2.010200E1,,,,,,,,,,,,
2.013533E1,,,,,,,,,,,,
2.016867E1,,,,,,,,,,,,
2.020201E1,,,,,,,,,,,,
2.023534E1,,,,,,,,,,,,
2.026868E1,,,,,,,,,,,,
2.030202E1,,,,,,,,,,,,
2.033535E1,,,,,,,,,,,,
2.036869E1,,,,,,,,,,,,
2.040203E1,,,,,,,,,,,,
2.043536E1,,,,,,,,,,,,
2.046870E1,,,,,,,,,,,,
2.050204E1,,,,,,,,,,,,
2.053537E1,,,,,,,,,,,,
2.056871E1,,,,,,,,,,,,
2.060205E1,,,,,,,,,,,,
2.063538E1,,,,,,,,,,,,
2.066872E1,,,,,,,,,,,,
2.070206E1,,,,,,,,,,,,
2.073539E1,,,,,,,,,,,,
2.076873E1,,,,,,,,,,,,
2.080207E1,,,,,,,,,,,,
2.083540E1,,,,,,,,,,,,
2.086874E1,,,,,,,,,,,,
2.090208E1,,,,,,,,,,,,
2.093541E1,,,,,,,,,,,,
2.096875E1,,,,,,,,,,,,
2.100209E1,,,,,,,,,,,,
2.103542E1,,,,,,,,,,,,
2.106876E1,,,,,,,,,,,,
2.110210E1,,,,,,,,,,,,
2.113543E1,,,,,,,,,,,,
2.116877E1,,,,,,,,,,,,
2.120211E1,,,,,,,,,,,,
2.123544E1,,,,,,,,,,,,
2.126878E1,,,,,,,,,,,,
2.130212E1,,,,,,,,,,,,
2.133545E1,,,,,,,,,,,,
2.136879E1,,,,,,,,,,,,
2.140213E1,,,,,,,,,,,,
2.143546E1,,,,,,,,,,,,
2.146880E1,,,,,,,,,,,,
2.150214E1,,,,,,,,,,,,
2.153547E1,,,,,,,,,,,,
2.156881E1,,,,,,,,,,,,
2.160215E1,,,,,,,,,,,,
2.163548E1,,,,,,,,,,,,
2.166882E1,,,,,,,,,,,,
2.170216E1,,,,,,,,,,,,
2.173549E1,,,,,,,,,,,,
2.176883E1,,,,,,,,,,,,
2.180217E1,,,,,,,,,,,,
2.183550E1,,,,,,,,,,,,
2.186884E1,,,,,,,,,,,,
2.190218E1,,,,,,,,,,,,
2.193551E1,,,,,,,,,,,,
2.196885E1,,,,,,,,,,,,
2.200219E1,,,,,,,,,,,,
2.203552E1,,,,,,,,,,,,
2.206886E1,,,,,,,,,,,,
2.210220E1,,,,,,,,,,,,
2.213553E1,,,,,,,,,,,,
2.216887E1,,,,,,,,,,,,
2.220221E1,,,,,,,,,,,,
2.223554E1,,,,,,,,,,,,
2.226888E1,,,,,,,,,,,,
2.230222E1,,,,,,,,,,,,
2.233555E1,,,,,,,,,,,,
2.236889E1,,,,,,,,,,,,
2.240223E1,,,,,,,,,,,,
2.243556E1,,,,,,,,,,,,
2.246890E1,,,,,,,,,,,,
2.250224E1,,,,,,,,,,,,
2.253557E1,,,,,,,,,,,,
2.256891E1,,,,,,,,,,,,
2.260225E1,,,,,,,,,,,,
2.263558E1,,,,,,,,,,,,
2.266892E1,,,,,,,,,,,,
2.270226E1,,,,,,,,,,,,
2.273559E1,,,,,,,,,,,,
2.276893E1,,,,,,,,,,,,
2.280227E1,,,,,,,,,,,,
2.283560E1,,,,,,,,,,,,
2.286894E1,,,,,,,,,,,,
2.290228E1,,,,,,,,,,,,
2.293561E1,,,,,,,,,,,,
2.296895E1,,,,,,,,,,,,
2.300229E1,,,,,,,,,,,,
2.303562E1,,,,,,,,,,,,
2.306896E1,,,,,,,,,,,,
2.310230E1,,,,,,,,,,,,
2.313563E1,,,,,,,,,,,,
2.316897E1,,,,,,,,,,,,
2.320231E1,,,,,,,,,,,,
2.323564E1,,,,,,,,,,,,
2.326898E1,,,,,,,,,,,,
2.330232E1,,,,,,,,,,,,
2.333565E1,,,,,,,,,,,,
